,District,Median Income,Total Police Reports,Resoluiton Fraction
0,SOUTHERN,97000.0,399785,0.375214177620471
1,MISSION,115600.0,300076,0.44377091136911984
2,NORTHERN,94411.4,272713,0.3073230832413563
3,CENTRAL,58000.0,226255,0.27283816932222493
4,BAYVIEW,95962.0,221000,0.3959185520361991
5,INGLESIDE,96613.25,194180,0.339334637964775
6,TENDERLOIN,23513.0,191746,0.6310587965329133
7,TARAVAL,84968.75,166971,0.29452419881296754
8,PARK,109535.0,125479,0.34475091449565265
9,RICHMOND,123152.5,116818,0.25666421270694584
